time,Lyman_alpha,MgII,au_factor,Lyman_alpha_corr,MgII_corr
2017-09-11,0.0063934927,0.2649363,1.0132405,0.0064781453,0.26844418
2017-09-12,0.0063710962,0.26468596,1.0127243,0.0064521637,0.2680539
2017-09-13,0.0063360264,0.26449087,1.0122049,0.006413357,0.26771894
2017-09-14,0.006242883,0.2640136,1.0116817,0.00631581,0.2670977
2017-09-15,0.006242054,0.2638851,1.0111543,0.0063116797,0.26682857
2017-09-16,0.006249846,0.2639336,1.0106221,0.0063162325,0.26673713
2017-09-17,0.0062622596,0.26394996,1.0100847,0.006325413,0.2666118
2017-09-18,0.0062604216,0.26396942,1.0095421,0.0063201594,0.26648825
2017-09-19,0.0062844693,0.26403034,1.0089939,0.006340991,0.266405
2017-09-20,0.0062903203,0.26412803,1.0084401,0.0063434113,0.2663573
2017-09-21,0.006329682,0.26435965,1.0078812,0.0063795676,0.2664431
2017-09-22,0.006306429,0.2642307,1.0073173,0.006352575,0.26616415
2017-09-23,0.006310523,0.2641641,1.0067489,0.0063531124,0.26594692
2017-09-24,0.006421481,0.26480487,1.0061766,0.0064611435,0.26644045
2017-09-25,0.0065775937,0.26582435,1.0056008,0.0066144336,0.26731318
2017-09-26,0.006667288,0.26664472,1.0050223,0.0067007733,0.26798388
2017-09-27,0.0067618657,0.26722747,1.0044414,0.0067918976,0.26841432
2017-09-28,0.006769293,0.26728165,1.0038589,0.006795415,0.26831308
2017-09-29,0.0067836307,0.26727882,1.0032756,0.0068058516,0.26815432
2017-09-30,0.0067947754,0.26724696,1.002692,0.006813067,0.2679664
2017-10-01,0.006793892,0.26715928,1.0021086,0.0068082176,0.2677226
2017-10-02,0.0067937835,0.26696008,1.0015262,0.0068041524,0.26736754
2017-10-03,0.0067546684,0.26669458,1.0009456,0.0067610554,0.26694676
2017-10-04,0.006716162,0.2664154,1.0003668,0.0067186253,0.2665131
2017-10-05,0.0066392017,0.26594496,0.9997909,0.0066378135,0.26588935
2017-10-06,0.006554189,0.26529267,0.9992178,0.0065490627,0.26508516
2017-10-07,0.00642556,0.2644068,0.99864805,0.006416873,0.26404932
2017-10-08,0.006385472,0.26400682,0.9980814,0.006373221,0.2635003
2017-10-09,0.0063033984,0.26353735,0.99751776,0.0062877517,0.2628832
2017-10-10,0.0062944484,0.2635019,0.9969569,0.006275294,0.26270005
2017-10-11,0.0062829773,0.26339883,0.9963981,0.0062603466,0.2624501
2017-10-12,0.006304438,0.26343802,0.99584115,0.006278219,0.26234242
2017-10-13,0.0063038026,0.26348078,0.9952855,0.006274083,0.2622386
2017-10-14,0.0063445903,0.2636208,0.99473053,0.0063111577,0.26223165
2017-10-15,0.006367294,0.26367167,0.994176,0.0063302107,0.26213604
2017-10-16,0.0063656666,0.2636638,0.99362135,0.0063250624,0.261982
2017-10-17,0.0063933344,0.26382563,0.99306643,0.0063490057,0.26199636
2017-10-18,0.0064205974,0.26391563,0.99251115,0.0063725146,0.2619392
2017-10-19,0.0064108595,0.26383308,0.9919555,0.0063592875,0.26171067
2017-10-20,0.0064321784,0.26382986,0.9913997,0.0063768597,0.26156086
2017-10-21,0.0064679356,0.26402077,0.9908439,0.0064087147,0.26160336
2017-10-22,0.006564866,0.26459625,0.9902885,0.006501111,0.26202664
2017-10-23,0.0066416063,0.2651872,0.9897339,0.006573423,0.26246476
2017-10-24,0.0067218207,0.26568067,0.9891805,0.006649094,0.26280615
2017-10-25,0.0067915167,0.2660255,0.9886288,0.006714289,0.2630005
2017-10-26,0.006818963,0.26613453,0.9880795,0.006737678,0.26296207
2017-10-27,0.006837645,0.2662495,0.9875331,0.0067524007,0.2629302
2017-10-28,0.00680475,0.26603413,0.98699033,0.0067162225,0.26257312
2017-10-29,0.006790225,0.26587152,0.98645145,0.006698227,0.26226935
2017-10-30,0.00676531,0.26568502,0.98591757,0.006670038,0.26194352
2017-10-31,0.00672794,0.26541376,0.9853892,0.0066296393,0.26153585
2017-11-01,0.006623247,0.2648637,0.984867,0.0065230173,0.26085553
2017-11-02,0.0065467046,0.2643901,0.9843516,0.006444259,0.26025283
2017-11-03,0.006491841,0.26406825,0.9838436,0.006386956,0.25980186
2017-11-04,0.0064123105,0.26360905,0.9833435,0.0063055037,0.25921825
2017-11-05,0.0064122137,0.26351485,0.9828513,0.006302253,0.25899592
2017-11-06,0.006383171,0.26335964,0.9823673,0.006270618,0.2587159
2017-11-07,0.0063809725,0.2633214,0.9818912,0.006265421,0.25855297
2017-11-08,0.00632456,0.2631272,0.9814228,0.006207067,0.25823903
2017-11-09,0.0062941285,0.26294616,0.9809614,0.006174297,0.25794002
2017-11-10,0.0063383626,0.263105,0.98050666,0.006214807,0.2579762
2017-11-11,0.0063674347,0.2632432,0.980058,0.0062404554,0.2579936
2017-11-12,0.0063691256,0.26315194,0.97961485,0.00623929,0.25778756
2017-11-13,0.006389817,0.26328102,0.9791769,0.0062567615,0.25779867
2017-11-14,0.0064541064,0.26366538,0.9787437,0.0063169156,0.2580608
2017-11-15,0.0065064784,0.26392624,0.97831506,0.006365386,0.258203
2017-11-16,0.006513369,0.26393768,0.97789085,0.006369364,0.25810224
2017-11-17,0.006556306,0.2642426,0.977471,0.006408599,0.25828946
2017-11-18,0.0066543124,0.26469848,0.9770553,0.0065016313,0.25862506
2017-11-19,0.006715162,0.26506248,0.9766443,0.0065583247,0.25887176
2017-11-20,0.0067476938,0.26522365,0.9762378,0.0065873535,0.25892136
2017-11-21,0.006754878,0.2651803,0.9758362,0.0065916544,0.25877252
2017-11-22,0.006786035,0.26529574,0.97543997,0.0066193696,0.25878006
2017-11-23,0.0067964224,0.26528415,0.9750495,0.006626848,0.25866517
2017-11-24,0.006752409,0.26497528,0.974665,0.0065813367,0.25826213
2017-11-25,0.0067469035,0.26492137,0.9742872,0.006573422,0.2581095
2017-11-26,0.0066907997,0.26466516,0.9739165,0.00651628,0.25776175
2017-11-27,0.006574495,0.26417705,0.9735536,0.0064006234,0.25719053
2017-11-28,0.006535918,0.26398396,0.973199,0.006360749,0.25690892
2017-11-29,0.006528508,0.2638866,0.9728535,0.006351282,0.256723
2017-11-30,0.0065173865,0.2637207,0.97251767,0.0063382736,0.25647303
2017-12-12,0.0065183286,0.26361862,0.9693466,0.0063185194,0.2555378
2017-12-13,0.006530369,0.26362422,0.96914613,0.006328882,0.2554904
2017-12-14,0.0065760263,0.26375803,0.96895355,0.006371864,0.25556928
2017-12-15,0.0065744547,0.26375148,0.96876836,0.0063691237,0.2555141
2017-12-16,0.006619761,0.2638917,0.9685907,0.006411839,0.25560305
2017-12-17,0.006617157,0.26400405,0.9684202,0.0064081885,0.25566685
2017-12-18,0.0066440655,0.26402825,0.9682568,0.0064331614,0.25564715
2017-12-19,0.0066274013,0.26400465,0.9681008,0.0064159925,0.2555831
2017-12-20,0.006646961,0.26413563,0.9679521,0.0064339396,0.25567064
2017-12-21,0.0066806264,0.2643507,0.96781087,0.0064655826,0.2558415
2017-12-22,0.0066556754,0.26430702,0.9676774,0.006440547,0.25576395
2017-12-23,0.006664467,0.26441386,0.9675521,0.006448219,0.2558342
2017-12-24,0.0066223205,0.2642904,0.9674353,0.0064066667,0.25568387
2017-12-25,0.0065818047,0.26415318,0.96732724,0.006366759,0.25552258
2017-12-26,0.006542551,0.26397654,0.96722865,0.0063281427,0.25532568
2017-12-27,0.0064594606,0.26363775,0.9671401,0.0062472033,0.25497463
2017-12-28,0.006463814,0.26355678,0.96706194,0.0062509086,0.25487572
2017-12-29,0.006432172,0.26341575,0.9669951,0.006219879,0.25472176
2017-12-30,0.006379942,0.26307848,0.9669403,0.006169023,0.25438118
2017-12-31,0.0064167427,0.26317677,0.9668978,0.006204334,0.25446504
2018-01-01,0.0063706147,0.2629267,0.96686834,0.006159546,0.2542155
2018-01-02,0.006425137,0.263141,0.966852,0.0062121567,0.2544184
2018-01-03,0.006449962,0.26327187,0.9668488,0.006236138,0.25454408
2018-01-04,0.006419477,0.26320028,0.9668587,0.006206727,0.25447747
2018-01-05,0.006420527,0.26315567,0.96688116,0.0062078866,0.25444025
